セクション,質問
スプリントとスプリントプランニング,スプリントは1か月以下の固定期間になっている
スプリントとスプリントプランニング,スプリントプランニングを実施している
スプリントとスプリントプランニング,スプリントプランニングのタイムボックスを守っている
スプリントとスプリントプランニング,スプリントプランニングにスクラムチーム全員が参加している
スプリントとスプリントプランニング,プロダクトバックログは最新の状態になっている
スプリントとスプリントプランニング,スプリントゴールを1つ定めていて、全員がそのスプリントの意義を理解している
スプリントとスプリントプランニング,過去の実績（ベロシティ）などスクラムチームの力量を踏まえて計画している
スプリントとスプリントプランニング,スプリントで使える時間（キャパシティ）を考慮して計画している
スプリントとスプリントプランニング,スクラムチーム全員が理解できる実行計画を立てている
スプリントとスプリントプランニング,スプリントとスプリントプランニングの進め方を適宜改善している
デイリースクラム,デイリースクラムを毎日実施している
デイリースクラム,デイリースクラムのタイムボックスを守っている
デイリースクラム,開発者が中心となって自律的に運営している
デイリースクラム,必要に応じて参加者は最新の状況を話せるように準備している
デイリースクラム,デイリースクラムでスプリントゴール達成の可能性を検査している
デイリースクラム,デイリースクラムで次の1日分の計画を最新化している
デイリースクラム,デイリースクラム以外でも必要に応じて頻繁に話し合っている
デイリースクラム,スクラムマスターや特定の誰かに向けて報告していない
デイリースクラム,再計画や詳細な調整が必要な場合、速やかに別の会議等を用意している
デイリースクラム,デイリースクラムの進め方を適宜改善している
スプリントレビュー,スプリントレビューを毎スプリント実施している
スプリントレビュー,スプリントレビューのタイムボックスを守っている
スプリントレビュー,スプリントレビューにスクラムチーム全員が参加している
スプリントレビュー,プロダクトの状況にあったステークホルダーを招集している
スプリントレビュー,スプリントレビューに事前に必要な準備をしている
スプリントレビュー,スプリントレビューで完成したもののみデモしている
スプリントレビュー,フィードバックを収集し、必要に応じてプロダクトバックログに反映している
スプリントレビュー,スプリントレビューでプロダクトの現状や将来像、今後の予定などを共有している
スプリントレビュー,スプリントレビューが承認会議になっていない
スプリントレビュー,スプリントレビューの進め方を適宜改善している
スプリントレトロスペクティブ,スプリントレトロスペクティブを毎スプリント実施している
スプリントレトロスペクティブ,スプリントレトロスペクティブのタイムボックスを守っている
スプリントレトロスペクティブ,スプリントレトロスペクティブにスクラムチーム全員が参加している
スプリントレトロスペクティブ,個人、相互作用、プロセス、ツール、完成の定義など複数の観点で検査している
スプリントレトロスペクティブ,スプリントレトロスペクティブでうまくいったことを確認している
スプリントレトロスペクティブ,根本原因分析、意見と事実の分離などのテクニックを活用している
スプリントレトロスペクティブ,スプリントレトロスペクティブで重要な問題を選別し、具体的なアクションアイテムを定めている
スプリントレトロスペクティブ,スプリントレトロスペクティブで具体的なアクションアイテムに確実に着手している
スプリントレトロスペクティブ,スプリントレトロスペクティブで出た過去のアクションアイテムの効果や継続有無について検討している
スプリントレトロスペクティブ,スプリントレトロスペクティブの進め方を適宜改善している
プロダクトオーナー,プロダクトオーナーが明示的に1人いる
プロダクトオーナー,プロダクトオーナーの意思決定はステークホルダーから十分尊重されている
プロダクトオーナー,プロダクトゴールやプロダクトビジョンを明確にしている
プロダクトオーナー,プロダクトゴールやプロダクトビジョンを繰り返しスクラムチームに説明している
プロダクトオーナー,プロダクトゴールやプロダクトビジョンを繰り返しステークホルダーに説明している
プロダクトオーナー,プロダクトオーナーがプロダクトバックログの管理を行っている
プロダクトオーナー,プロダクトバックログアイテムの並び順の最終判断をしている
プロダクトオーナー,開発したものが完成しているかどうかを判断している
プロダクトオーナー,プロダクトに関する情報をステークホルダーやスクラムチームに公開している
プロダクトオーナー,プロダクトオーナーはWhatとWhyに注力し、Howは開発者を信頼して任せている
開発者,開発者が複数人いる
開発者,インクリメントを作るのに必要なスキルがすべて揃っている
開発者,スプリントゴールの達成に全力を尽くしている
開発者,開発者は持続可能なペースで働いている
開発者,作業規模を開発者の総意として見積っている
開発者,誰がどのタスクを行うかを自分たちで決めている
開発者,複数のチームに所属しておらず大多数の時間をスクラムチームのために使える
開発者,開発者に肩書やサブチームはない
開発者,開発者はチームに合意した品質や働き方に従っている
開発者,開発者は自分以外のメンバーの支援や教育を行っている
スクラムマスター,スクラムマスターとしてふるまう人が1人いる
スクラムマスター,スクラムチームがタイムボックスを守れるようにしている
スクラムマスター,スクラムチームやステークホルダーにスクラムの教育を行っている
スクラムマスター,スクラムマスターは必要に応じてイベントのファシリテーションを行っている
スクラムマスター,スクラムチームが権限を持てるよう組織への働きかけを行っている
スクラムマスター,スクラムマスターはプロダクトオーナーを支援している
スクラムマスター,スクラムマスターは開発者を支援している
スクラムマスター,スクラムチームの進捗を妨げる障害物を排除するように働きかける
スクラムマスター,スクラムマスターがタスクをアサインしたり進捗を管理したりしていない
スクラムマスター,スクラムマスターはチームをしっかり観察し、意図的に何もしないことも選択出来ている
プロダクトバックログ（アイテム）,プロダクトバックログがある
プロダクトバックログ（アイテム）,プロダクトゴールを定めている
プロダクトバックログ（アイテム）,プロダクトバックログアイテムの個数が全容を把握できる数になっている
プロダクトバックログ（アイテム）,上位のプロダクトバックログアイテムは具体的かつ詳細で1スプリント内で終わるサイズになっている
プロダクトバックログ（アイテム）,定期的にプロダクトバックログアイテムの内容の見直しや棚卸しをしている
プロダクトバックログ（アイテム）,スクラムチームの誰もが内容、背景、意図などを理解している
プロダクトバックログ（アイテム）,スクラムチーム外の人でもプロダクトバックログアイテムが見えるようになっている
プロダクトバックログ（アイテム）,プロダクトバックログアイテム間の依存関係はなるべく排除されている
プロダクトバックログ（アイテム）,必要に応じて追加の資料やダイアグラムなどを用意している
プロダクトバックログ（アイテム）,プロダクトオーナー以外の人でもプロダクトバックログアイテムを作成している
スプリントバックログ,バックログを毎スプリント作成している
スプリントバックログ,バックログに明快なスプリントゴールが含まれている
スプリントバックログ,バックログにスプリントの作業計画が含まれている
スプリントバックログ,バックログは開発者自身が管理している
スプリントバックログ,開発者はスプリント中に必要に応じてスプリントバックログを更新している
スプリントバックログ,スプリントバックログの作業計画の体裁、粒度などを開発者が決めている
スプリントバックログ,スプリントで使える時間や過去の実績を踏まえて計画を立てている
スプリントバックログ,作業は開発者の誰でも着手できるようなSMARTなものになっている
スプリントバックログ,同時の仕掛りの数を増やさずに1つずつ完成させている
スプリントバックログ,スプリントの状況やゴール達成の見通しがいつでも把握可能になっている
インクリメント,インクリメントを毎スプリント作成している
インクリメント,エンドツーエンドで動作する
インクリメント,過去に作った部分が壊れていない
インクリメント,完成の定義を定めている
インクリメント,全員が完成の定義を守っている
インクリメント,完成の定義をスクラムチームの力量に合わせて拡張している
インクリメント,テストを始め毎スプリント完成の定義を確実に守れるよう仕掛け化している
インクリメント,生産性の低下を招くような技術的な問題に継続的に対処している
インクリメント,不要な機能を削除して、インクリメントの肥大化を防いでいる
インクリメント,インクリメントを素早く安全にデプロイできる